Nationality,Name,FullName,Age,Height,Weight,Overall,PreferredFoot,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
Finland,S. Väisänen,Sauli Väisänen,28,188,77,65.0,1,3,2,53,42,54,54,66,66
Germany,S. Benda,Steven Benda,23,193,83,65.0,1,3,1,65,63,59,67,37,64
France,C. Boli,Charles Boli,23,175,65,65.0,0,3,4,68,57,61,70,45,44
Slovakia,J. Bernát,Ján Bernát,21,180,70,65.0,1,4,2,66,60,70,64,34,47
Portugal,Benny Sousa,Bernardo Martins Sousa,22,178,73,65.0,0,3,3,75,62,58,65,33,57
France,J. Da Costa,Julien Da Costa,26,182,77,65.0,1,3,3,77,34,57,63,58,71
Germany,A. Diawusie,Agyemang Diawusie,24,180,75,65.0,1,3,3,88,57,55,66,28,64
Guinea,M. Dyrestam,Mikael Dyrestam,30,186,81,65.0,1,4,2,68,37,57,60,63,72
Sweden,F. Jörgensen,Filip Jörgensen,20,189,77,65.0,1,2,1,64,69,68,66,36,64
Croatia,D. Oroz,Dominik Oroz,21,192,75,65.0,1,3,2,56,36,53,50,65,67
Scotland,B. Anderson,Bruce Anderson,23,177,77,65.0,1,3,2,72,66,51,64,19,61
Italy,M. Chiesa,Mattia Chiesa,21,190,82,65.0,1,3,1,67,62,67,65,39,61
South Africa,B. Ralani,Bradley Ralani,34,169,59,65.0,1,3,3,73,56,58,70,27,41
France,F. Escales,Florian Escales,26,184,78,65.0,1,2,1,66,68,63,64,25,67
Australia,M. Burgess,Max Burgess,27,185,70,65.0,0,4,3,78,60,61,67,43,70
Nigeria,S. Aluko,Sone Aluko,33,173,62,65.0,0,2,3,72,61,62,70,40,49
Italy,F. Terracciano,Filippo Terracciano,19,181,68,65.0,1,4,3,81,59,64,65,60,62
England,T. Conlon,Tom Conlon,26,173,62,65.0,0,4,3,63,60,65,67,59,66
China PR,Dong Chunyu,Chunyu Dong,31,187,81,65.0,0,1,1,65,64,66,65,45,65
Italy,E. Baldini,Enrico Baldini,25,179,73,65.0,1,4,3,74,66,57,70,28,55
India,S. Chhetri,Sunil Chhetri,37,169,69,65.0,1,4,3,74,69,56,66,32,71
Spain,José Lara,José Alonso Lara,22,162,60,65.0,0,3,3,70,63,61,71,33,36
Latvia,R. Uldriķis,Roberts Uldriķis,24,198,92,65.0,1,3,2,43,65,54,57,33,78
Scotland,J. Murphy,Jamie Murphy,32,178,72,65.0,1,4,3,67,63,63,67,47,59
United States,J. Maher,Jack Maher,22,190,80,65.0,1,2,2,58,24,47,51,66,68
England,M. Butcher,Matt Butcher,25,188,83,65.0,0,3,2,62,62,63,62,62,76
Germany,J. Consbruch,Jomaine Consbruch,20,174,66,65.0,1,3,3,74,55,61,69,53,51
Korea Republic,Sin Se Gye,Se Gye Sin,31,178,75,65.0,1,3,2,82,58,61,63,62,72
Italy,M. Maita,Mattia Maita,27,182,78,65.0,1,3,3,72,55,63,69,50,62
Paraguay,D. Gómez,Diego Alexander Gómez,19,185,83,65.0,1,3,2,73,56,60,69,51,65
Korea Republic,Rim Chang Woo,Chang Woo Rim,30,183,72,65.0,1,3,2,78,48,54,60,63,75
Argentina,L. Garate,Leandro Garate,28,190,83,65.0,1,3,2,57,64,47,64,28,70
Austria,S. Haudum,Stefan Haudum,27,188,74,65.0,1,3,2,48,54,61,62,64,70
Poland,P. Wlazło,Piotr Wlazło,33,181,69,65.0,1,3,2,52,61,62,64,60,74
Norway,J. Storevik,Jacob Storevik,25,188,83,65.0,1,2,1,67,63,59,65,36,65
Spain,Bastida,Álvaro Bastida Moya,18,170,70,65.0,1,3,2,56,41,56,55,65,51
Belgium,N. Mbamba,Noah Mbamba,17,188,75,64.0,1,3,2,72,32,51,63,61,71
Korea Republic,Jang Ho Ik,Ho Ik Jang,28,173,62,64.0,1,3,3,80,48,56,64,64,71
France,M. Mandron,Mikaël Mandron,27,191,82,64.0,0,3,3,64,63,53,61,45,80
Togo,T. Klidje,Thibault Klidje,20,175,65,64.0,1,3,2,76,64,55,66,22,61
England,V. Oliver,Vadaine Oliver,30,188,78,64.0,1,2,2,65,62,50,59,41,81
Spain,Raúl Parra,Raúl Parra Artal,22,187,77,64.0,1,3,2,66,43,51,53,65,68
Venezuela,D. Pérez,Daniel Pérez,20,189,77,64.0,1,3,3,64,66,40,63,27,69
Netherlands,R. Ruiter,Robbin Ruiter,35,196,78,64.0,1,2,1,64,60,64,62,40,65
Serbia,B. Janošević,Budimir Janošević,32,190,86,64.0,1,3,1,64,66,55,66,23,66
England,J. Leko,Jonathan Leko,23,182,64,64.0,1,4,3,90,60,55,67,35,62
Germany,K. Lankford,Kevin Lankford,23,186,81,64.0,1,3,3,81,54,56,65,24,64
Paraguay,W. Candia,Willian Candia,29,172,73,64.0,1,3,3,79,58,63,70,53,69
England,J. Baldwin,Jack Baldwin,29,185,70,64.0,1,4,2,63,40,51,55,63,71
Korea Republic,Kang Ji Hoon,Ji Hoon Kang,25,177,66,64.0,1,3,2,80,56,53,64,60,54
Austria,M. Steinwender,Michael Steinwender,22,190,77,64.0,1,3,2,50,29,42,39,64,71
Bolivia,W. Saucedo,Widen Saucedo,25,179,77,64.0,1,3,2,70,29,51,43,62,64
Japan,S. Tanaka,Satoshi Tanaka,19,174,70,64.0,0,4,2,70,54,59,65,63,64
Norway,D. Ulvestad,Dan Peter Ulvestad,33,189,84,64.0,1,3,2,34,44,47,44,63,70
Iceland,W. Willumsson,Willum Þór Willumsson,23,193,84,64.0,0,3,3,67,61,67,60,55,70
United States,D. Dwyer,Dom Dwyer,31,175,82,64.0,0,4,3,63,65,51,63,32,65
Romania,E. Florescu,Eduard Florescu,25,188,69,64.0,0,3,3,69,67,65,65,53,61
Uruguay,T. Galletto,Tiago Galletto,20,182,81,64.0,1,4,2,70,52,63,62,63,69
Italy,L. Magnino,Luca Magnino,24,185,82,64.0,1,3,3,74,53,60,60,62,69
Uruguay,M. Moreira,Maximiliano Moreira,28,173,68,64.0,0,3,2,70,40,57,60,59,64
England,J. Matete,Jay Matete,21,173,60,64.0,1,2,2,77,54,61,67,63,68
Uruguay,J. Pintado,Juan de Dios Pintado,24,173,64,64.0,1,3,2,77,34,48,60,60,54
England,J. Trafford,James Trafford,19,192,90,64.0,1,2,1,65,63,64,64,27,62
Norway,E. Tagseth,Edvard Sandvik Tagseth,21,171,67,64.0,0,3,3,77,52,62,68,56,65
Argentina,T. Jacob,Tomás Jacob,18,180,74,64.0,1,3,3,74,35,53,60,60,62
Turkey,A. Uysal,Alperen Uysal,28,190,85,64.0,1,2,1,68,61,59,64,46,62
Paraguay,G. Arévalos,Gustavo Arévalos,37,178,72,64.0,1,1,1,60,63,61,65,31,64
Argentina,L. Carrizo,Lucas Carrizo,25,180,70,64.0,0,2,2,67,35,52,60,59,70
Denmark,R. Corlu,Rezan Corlu,24,170,75,64.0,0,3,3,80,59,60,68,27,60
France,S. Beusnard,Steeve Beusnard,30,170,62,64.0,0,4,3,81,58,63,69,57,52
Cuba,M. Chang,Maikel Chang,31,178,79,64.0,0,4,2,69,51,62,62,58,52
Italy,E. Guarna,Enrico Guarna,36,185,82,64.0,1,2,1,64,62,58,66,41,59
Spain,Àlex Carbonell,Àlex Carbonell Vallés,24,182,73,64.0,1,3,3,44,60,63,68,63,59
Italy,N. Zanellato,Niccolò Zanellato,24,187,80,64.0,1,4,4,65,51,66,69,56,63
Spain,Anglada,Hugo Anglada Gutiérrez,18,182,75,64.0,1,3,2,64,35,50,55,65,66
Venezuela,Y. Rivas,Yackson Rivas,20,179,67,64.0,1,3,3,75,62,52,67,28,55
France,P. Patron,Pierre Patron,24,191,85,64.0,1,2,1,64,63,57,62,21,66
China PR,M. Mirahmetjan,Muzepper Mirahmetjan,31,182,73,64.0,0,4,3,69,64,66,63,61,72
Portugal,Rodrigo Martins,Rodrigo Miguel Forte Paes Martins,23,177,75,64.0,1,3,3,79,51,57,68,27,54
Argentina,T. Lecanda,Tomás Lecanda,20,183,73,64.0,1,2,2,65,44,51,53,64,64
Portugal,Miguel Reisinho,Miguel Silva Reisinho,23,184,78,64.0,1,3,3,55,52,63,63,58,68
Romania,D. Boldor,Deian Boldor,27,189,83,64.0,0,2,2,68,32,41,43,64,74
Uruguay,E. Larrosa,Enzo Larrosa,21,185,75,64.0,0,3,2,55,64,51,62,23,64
Argentina,Alejandro Garnacho,Alejandro Garnacho Ferreyra,18,180,70,64.0,1,4,3,80,59,57,65,24,52
Denmark,M. Frese,Martin Frese,24,179,75,64.0,0,3,3,78,56,61,67,57,64
Chile,V. Pizarro,Vicente Pizarro,19,172,67,64.0,0,2,2,68,49,60,62,60,64
Switzerland,G. Barès,Gabriel Barès,21,187,70,64.0,0,3,2,60,49,63,63,59,64
Korea Republic,Kwon Soon Hyung,Soon Hyung Kwon,36,176,70,64.0,1,3,3,40,64,68,65,61,54
England,T. Morton,Tyler Morton,19,178,71,64.0,1,3,2,65,47,62,67,59,58
Japan,K. Hinokio,Koki Hinokio,21,166,60,64.0,1,3,2,70,59,59,69,38,50
Brazil,Jean Carlos,Jean Carlos de Brito,27,183,75,64.0,0,2,2,71,46,60,61,56,69
Poland,Ł. Łakomy,Łukasz Łakomy,21,181,79,64.0,0,3,2,67,54,57,60,61,67
Germany,N. Thiede,Niclas Thiede,23,186,85,64.0,0,4,1,66,61,59,68,44,60
England,N. McGinley,Nathan McGinley,25,191,85,64.0,0,3,2,67,35,51,53,61,67
Colombia,L. Vásquez,Luis Vásquez,26,186,80,64.0,1,3,1,65,61,61,64,40,62
Syria,F. Arnaout,Fares Arnaout,25,186,86,64.0,1,3,2,63,45,52,53,65,72
Venezuela,A. Martínez,Adrián Martínez,28,186,86,64.0,1,3,2,52,30,41,42,65,70
England,G. Taylor,Greg Taylor,32,186,73,64.0,0,4,2,51,39,53,54,64,70
Paraguay,E. Borja,Enrique Borja,27,185,84,64.0,1,3,3,70,66,45,59,21,65
Australia,N. Ansell,Nick Ansell,28,186,80,64.0,1,3,2,43,29,48,44,63,80
England,A. Obileye,Ayo Obileye,27,191,84,64.0,1,3,2,72,51,53,53,62,74
Costa Rica,A. Lassiter,Ariel Lassiter,27,178,70,64.0,0,5,3,81,64,57,65,26,54
England,M. Derbyshire,Matt Derbyshire,36,178,71,64.0,1,3,2,70,65,57,62,29,59
England,H. Smith,Harry Smith,27,193,85,64.0,1,3,2,53,64,48,56,31,78
Sweden,A. Liljenbäck,Anton Liljenbäck,27,183,83,64.0,1,2,2,72,41,55,59,60,73
Argentina,P. Minissale,Pablo Minissale,21,179,72,64.0,1,3,2,53,30,36,41,68,61
Germany,Y. Engelhardt,Yannik Engelhardt,21,184,74,64.0,1,3,2,67,45,59,60,61,67
Ecuador,J. Rodríguez,Jhon Jairo Rodríguez,25,163,63,64.0,1,3,3,65,57,61,61,62,66
Netherlands,O. El Azzouzi,Oussama El Azzouzi,21,189,75,64.0,1,3,2,58,42,57,65,59,64
Croatia,K. Sentić,Karlo Sentić,21,193,82,64.0,1,2,1,64,67,59,64,34,59
Bolivia,G. Justiniano,Guimer Justiniano,33,185,77,64.0,0,3,2,54,31,45,38,68,61
Ecuador,A. Oña,Andrés Oña,29,171,65,64.0,1,4,2,54,49,57,53,61,67
China PR,Wei Zhen,Zhen Wei,25,188,78,64.0,1,2,2,66,34,54,51,64,69
Australia,J. Troisi,James Troisi,33,176,75,64.0,0,2,3,62,60,67,64,48,69
Spain,I. Suero Fernández,Israel Suero Fernández,28,172,69,64.0,0,3,2,65,61,63,68,30,46
Bolivia,S. Adrián,Sergio Adrián,26,172,70,64.0,1,3,2,69,50,55,65,62,74
Germany,C. Hemlein,Christoph Hemlein,31,181,79,64.0,1,3,3,78,62,59,65,39,69
Brazil,Lucas Soares,Lucas Soares de Almeida,24,174,64,64.0,1,3,2,74,37,54,64,63,59
Argentina,G. Añasgo,Gonzalo Añasgo,25,170,69,64.0,0,2,3,70,50,59,61,60,62
Italy,M. Vigorito,Mauro Vigorito,32,187,79,64.0,1,2,1,61,62,61,66,39,64
Bolivia,J. Careaga,Jesús Careaga,25,184,88,64.0,1,2,1,65,63,66,67,42,60
Bolivia,W. Soleto,Wilfredo Soleto,26,179,87,64.0,1,3,2,69,30,52,54,62,62
Slovakia,D. Strelec,David Strelec,21,185,75,64.0,0,3,2,55,64,53,62,34,57
Faroe Islands,G. Rólantsson,Gilli Rólantsson,29,187,82,64.0,1,4,3,78,61,59,64,58,62
Poland,D. Kun,Dominik Kun,29,173,63,64.0,0,3,3,77,55,61,68,66,63
Senegal,P. Keny,Philippe Paulin Keny,23,186,80,64.0,1,2,3,70,62,55,63,29,69
Netherlands,J. Amofa,Jamal Amofa,23,185,82,64.0,1,3,2,71,34,50,58,63,73
Spain,Carlo Adriano,Carlo Adriano García Prades,21,182,72,64.0,1,4,3,59,58,64,67,50,54
Germany,N. Stierlin,Niclas Stierlin,22,182,80,64.0,1,3,2,68,54,54,59,63,73
Portugal,Hélder Morim,Hélder Gomes Morim,21,181,78,64.0,0,3,2,65,53,62,63,62,63
Romania,A. Scarlatache,Adrian Scarlatache,35,184,80,64.0,1,3,2,53,36,53,51,63,76
Germany,L. Scherff,Lukas Scherff,25,175,70,64.0,0,3,3,77,51,55,66,55,71
Germany,A. Azhil,Ayman Azhil,21,175,67,64.0,1,3,3,67,45,63,65,60,45
Georgia,B. Dartsmelia,Beka Dartsmelia,22,177,64,64.0,0,3,2,68,56,65,63,60,44
China PR,Piao Shihao,Shihao Piao,30,177,73,64.0,1,3,2,80,39,54,51,59,74
Brazil,Nelson Freitosa,Nelson Arturo Freitosa Ruiz,26,185,81,64.0,1,3,1,59,47,66,74,48,72
Norway,M. Lekven,Magnus Lekven,34,177,72,64.0,1,4,2,49,54,65,65,60,71
Sweden,K. Hodžić,Kadir Hodžić,27,179,71,64.0,0,3,2,64,34,57,61,60,60
Netherlands,R. Balk,Remco Balk,21,176,65,64.0,1,3,3,82,60,54,66,26,49
Argentina,P. Ostachuk,Patricio Ostachuk,22,180,76,64.0,1,3,2,67,52,55,60,62,66
Uruguay,S. Paiva,Santiago Paiva,23,181,73,64.0,1,3,3,76,61,49,65,22,53
Venezuela,M. Galezo,Moisés Galezo,41,180,78,64.0,1,3,2,59,38,44,55,64,63
Germany,G. Fechner,Gino Fechner,24,188,78,64.0,1,3,2,65,41,56,58,64,75
Canada,T. Hasal,Thomas Hasal,22,191,77,64.0,1,1,1,64,61,58,68,27,62
Australia,J. Donachie,James Donachie,29,193,85,64.0,1,2,2,57,32,48,43,63,76
England,M. Smith,Matthew Smith,21,176,70,64.0,1,3,2,65,54,60,66,60,60
Haiti,C. Antoine,Carnejy Antoine,30,191,80,64.0,1,2,2,55,66,50,62,33,63
Morocco,O. Targhalline,Oussama Targhalline,20,186,70,64.0,1,3,2,51,48,66,64,59,55
South Africa,S. Ngezana,Siyabonga Ngezana,24,185,77,64.0,1,2,2,71,25,35,44,66,69
Netherlands,P. Vroegh,Patrick Vroegh,22,175,67,64.0,0,3,2,60,54,63,64,56,59
Republic of Ireland,S. Williams,Shaun Williams,35,183,80,64.0,0,3,2,33,59,65,57,63,65
England,D. Hume,Denver Hume,23,177,71,64.0,0,3,2,83,37,52,63,57,59
Germany,K. Burger,Korbinian Burger,27,189,74,64.0,0,3,2,59,32,52,54,65,71
England,G. Thomson,George Thomson,30,175,69,64.0,1,3,3,74,58,60,63,53,65
Italy,A. Celli,Alessandro Celli,28,182,76,64.0,0,2,2,64,46,57,59,60,70
Paraguay,I. Benegas,Ismael Benegas,34,182,82,64.0,1,3,2,33,30,47,47,65,65
Scotland,M. O'Hara,Mark O'Hara,26,188,80,64.0,1,3,3,70,59,61,65,61,72
Paraguay,C. González,Clementino González,32,184,82,64.0,1,3,3,74,65,57,63,35,59
France,C. Depres,Clément Depres,27,188,80,64.0,1,3,3,33,67,51,60,30,58
Australia,A. Jovanović,Aleksandar Jovanović,32,196,83,64.0,1,2,2,52,32,47,53,63,73
Argentina,R. Lucero,Rufino Lucero,20,174,74,64.0,1,2,2,79,31,50,61,58,60
Mexico,S. Muñoz,Santiago Muñoz,19,179,67,64.0,1,3,3,71,62,59,69,25,60
Germany,M. Fritz,Moritz Fritz,28,192,84,64.0,1,4,2,53,41,48,49,62,77
England,D. Wright-Phillips,D'Margio Wright-Phillips,20,170,62,64.0,1,2,3,82,60,51,71,28,43
Ecuador,M. Mejía,Marlon Mejía,27,178,74,64.0,1,2,2,52,32,46,47,64,69
Albania,A. Mucolli,Agon Mucolli,23,172,72,64.0,1,3,4,72,53,57,68,34,52
Poland,D. Błanik,Dawid Błanik,25,173,63,64.0,1,2,3,76,57,57,66,42,62
Sweden,P. Karlsson,Per Karlsson,36,184,81,64.0,1,3,2,52,36,45,48,64,72
England,E. List,Elliott List,25,174,74,64.0,1,3,3,93,63,52,64,28,62
England,C. Thomas,Conor Thomas,28,185,72,64.0,1,3,2,67,59,60,61,61,71
Germany,E. Tallig,Erik Tallig,22,178,73,64.0,0,4,3,73,59,64,69,51,64
England,D. Pereira,Dion Pereira,23,175,70,64.0,0,3,3,80,61,59,68,34,54
Argentina,J. Pombo,Joaquín Pombo,21,192,84,64.0,0,3,2,51,32,38,39,65,70
Argentina,M. Sanabria,Mateo Sanabria,18,178,72,64.0,1,3,3,67,54,58,67,26,51
England,C. Butcher,Calum Butcher,31,185,83,64.0,1,3,2,51,59,56,61,63,72
Gambia,I. Touray,Ibou Touray,27,177,68,64.0,0,3,2,84,48,56,62,56,68
United States,P. Kitchen,Perry Kitchen,30,183,73,64.0,1,4,2,48,56,57,59,61,76
Germany,T. Boss,Tim Boss,29,186,80,64.0,1,3,1,67,62,60,64,48,62
Belgium,K. Vaesen,Kyan Vaesen,21,190,82,64.0,1,3,2,62,63,55,62,26,61
Korea Republic,Lee Jeong Hyeop,Jeong Hyeop Lee,31,186,76,64.0,1,4,2,63,60,48,61,34,75
England,L. McGee,Luke McGee,26,193,83,64.0,1,3,1,65,63,63,65,37,63
Mexico,A. Alfaro,Antonio Alfaro,29,188,86,64.0,0,3,2,57,25,45,52,63,71
Norway,H. Singh,Harmeet Singh,31,180,74,64.0,1,3,3,47,61,65,64,54,64
Turkey,A. Kızıldağ,Arda Kızıldağ,23,187,77,64.0,1,3,2,62,37,48,51,67,64
Argentina,F. Godoy,Fernando Godoy,32,180,72,64.0,1,3,2,59,54,62,62,62,68
Belgium,S. Braem,Stan Braem,23,186,76,64.0,1,3,2,71,65,46,70,21,59
Israel,Y. Cohen,Yonatan Cohen,26,186,77,64.0,0,3,3,73,66,53,66,32,61
Côte d'Ivoire,A. Bakayoko,Abdoulaye Bakayoko,19,185,74,64.0,1,3,2,77,34,44,54,64,66
Belgium,P. Perdichizzi,Pietro Perdichizzi,28,182,74,64.0,0,2,2,67,34,48,49,63,68
Peru,O. Valenzuela,Oswaldo Valenzuela,21,177,73,64.0,1,3,2,63,58,59,64,62,62
New Zealand,E. Just,Elijah Just,22,174,69,64.0,0,4,3,84,61,61,68,38,55
Italy,F. Berra,Filippo Berra,27,184,80,64.0,1,2,2,63,25,53,59,59,67
Wales,G. Edwards,Gwion Edwards,29,175,76,64.0,1,3,3,81,59,60,65,52,51
Poland,D. Tront,Damian Tront,27,174,65,64.0,1,2,2,65,44,55,55,63,72
Netherlands,A. Salah-Eddine,Anass Salah-Eddine,20,179,66,64.0,0,3,2,77,31,58,64,59,62
Germany,R. Meißner,Robin Meißner,22,181,78,64.0,1,4,2,68,64,43,62,22,69
England,T. Hopper,Tom Hopper,28,186,76,64.0,0,3,3,62,63,52,61,34,76
France,J. Hadjam,Jaouen Hadjam,19,184,83,64.0,0,3,3,77,49,58,65,57,72
Ecuador,J. Cárdenas,José Cárdenas,27,188,80,64.0,1,3,1,65,65,63,64,46,65
Spain,Sergio Lozano,Sergio Lozano Lluch,23,176,70,64.0,1,3,3,59,56,65,67,54,46
Austria,M. Egho,Marvin Egho,28,188,77,64.0,0,2,2,74,60,52,62,36,71
England,A. Woodyard,Alex Woodyard,29,175,58,64.0,1,3,2,59,54,60,64,62,66
Norway,T. Pedersen,Thore Pedersen,25,180,72,64.0,1,3,2,70,52,58,62,61,68
Poland,J. Żubrowski,Jakub Żubrowski,30,181,73,64.0,1,2,3,42,52,60,61,60,74
Bolivia,B. Poveda,Bruno Poveda,18,181,73,64.0,0,2,1,64,68,61,62,49,69
Japan,H. Ibusuki,Hiroshi Ibusuki,31,196,89,64.0,1,4,2,40,64,50,56,28,69
England,D. Worrall,David Worrall,32,170,67,64.0,1,4,3,80,60,61,64,54,69
Italy,J. Broh,Jérémie Broh,25,180,71,64.0,1,3,3,71,55,60,64,62,60
Italy,A. Russo,Alessandro Russo,21,193,78,64.0,1,1,1,68,62,57,64,31,61
Argentina,L. Marchi,Leonardo Marchi,25,180,75,64.0,0,3,2,74,42,54,64,59,63
Germany,R. Scheu,Robin Scheu,27,174,77,64.0,1,4,3,76,56,58,63,51,74
Nigeria,V. Adeboyejo,Victor Adeboyejo,24,178,63,64.0,1,3,3,74,61,49,65,26,67
Norway,M. Samuelsen,Martin Samuelsen,25,189,72,64.0,1,4,4,71,62,60,70,30,51
Romania,C. Dinu,Cornel Dinu,33,175,70,64.0,0,3,2,69,33,52,60,60,71
Republic of Ireland,A. Power,Alan Power,34,178,72,64.0,1,3,2,50,55,61,63,63,76
England,N. Smith,Nathan Smith,26,182,72,64.0,1,3,2,56,31,37,41,63,81
Netherlands,S. Hamulic,Saïd Hamulic,21,188,76,64.0,1,2,3,74,63,56,62,28,62
China PR,Wang Shangyuan,Shangyuan Wang,29,185,78,64.0,1,3,3,73,60,61,68,64,80
United States,N. DePuy,Nick DePuy,27,196,93,64.0,1,2,2,38,53,45,49,62,78
England,C. Norman,Cameron Norman,26,188,74,64.0,1,3,2,69,47,56,59,58,77
Argentina,L. Ferreyra,Luciano Ferreyra,20,164,63,64.0,1,3,3,86,60,56,67,24,48
Germany,D. Ramaj,Diant Ramaj,20,189,81,64.0,1,3,1,67,64,68,67,24,63
Romania,R. Trif,Răzvan Trif,24,180,72,64.0,0,2,2,73,47,56,59,60,63
Saint Lucia,T. Thomas,Terell Thomas,26,190,86,64.0,1,4,2,59,40,56,58,63,71
England,T. Pett,Tom Pett,30,173,70,64.0,1,4,3,58,56,62,67,56,54
China PR,Hui Jiakang,Jiakang Hui,33,180,75,64.0,1,3,3,73,60,61,64,39,63
England,O. Palmer,Ollie Palmer,30,196,92,64.0,1,3,2,62,63,49,58,26,79
Netherlands,J. Eijgenraam,Joshua Eijgenraam,20,180,80,64.0,1,3,2,69,48,54,63,63,69
Uruguay,A. Santurio,Agustín Santurio,21,178,75,64.0,1,3,2,66,65,50,61,36,57
Peru,J. Toledo,Jair Toledo,26,174,73,64.0,1,3,2,73,27,51,54,61,61
Morocco,A. Assal,Ayoub Assal,20,162,62,64.0,1,3,3,82,59,61,68,37,52
Cameroon,F. Evina,Franck Evina,21,180,77,64.0,1,3,3,82,62,56,65,34,67
Uruguay,F. Prado,Fernando Prado,21,170,68,64.0,0,2,2,68,38,54,61,61,70
Estonia,K. Hein,Karl Hein,20,193,77,64.0,1,3,1,61,63,56,66,35,64
Argentina,M. Roffo,Manuel Roffo,22,184,81,64.0,1,4,1,65,64,61,66,23,62
England,A. Pattison,Alex Pattison,24,173,70,64.0,1,3,2,78,58,61,66,60,67
Argentina,M. Galmarini,Martín Galmarini,40,181,77,64.0,1,3,3,57,53,59,59,65,60
Germany,B. Hollerbach,Benedict Hollerbach,21,181,78,64.0,1,3,2,73,60,55,66,27,69
Spain,Medrano,Fernando Medrano Gastañaga,22,172,63,64.0,0,2,2,68,38,55,60,58,46
Colombia,Y. Mosquera,Yerson Mosquera,21,187,76,64.0,1,3,2,74,22,39,45,63,68
Wales,J. Wright,Joe Wright,27,193,82,64.0,1,3,2,39,34,49,55,65,74
Spain,Míchel Zabaco,Miguel Zabaco Tomé,33,185,77,64.0,0,3,2,48,39,50,45,63,72
United States,J. Hayes,Jacori Hayes,27,170,68,64.0,1,3,3,69,45,62,67,58,66
Sweden,J. Björkengren,John Björkengren,23,182,78,64.0,0,3,2,62,53,57,64,59,68
United States,C. Cropper,Cody Cropper,29,193,91,64.0,1,3,1,67,62,61,66,35,61
England,C. Taylor,Connor Taylor,20,183,86,64.0,1,3,2,59,29,45,46,64,72
Northern Ireland,W. Grigg,Will Grigg,30,180,70,64.0,1,3,3,66,65,48,64,32,64
Belgium,M. Godts,Mika Godts,17,176,70,64.0,1,3,4,76,50,60,71,38,38
Switzerland,F. Stojilković,Filip Stojilković,22,186,80,64.0,1,4,2,67,67,48,65,29,66
Argentina,G. Verón,Gastón Verón,21,184,82,64.0,1,3,3,70,63,59,64,30,61
Poland,J. Jach,Jarosław Jach,28,189,78,64.0,0,2,2,53,45,51,55,62,70
China PR,Zhu Baojie,Baojie Zhu,32,170,68,64.0,1,4,2,67,53,62,65,52,60
England,G. Massey,Gavin Massey,29,177,80,64.0,1,3,3,79,59,60,65,47,59
Netherlands,K. Fitz-Jim,Kian Fitz-Jim,18,174,60,64.0,1,3,3,68,56,65,69,59,45
Iceland,D. Ólafsson,Davíð Kristján Ólafsson,27,184,69,64.0,0,3,2,76,48,63,60,57,71
France,T. Ducrocq,Tom Ducrocq,22,176,62,64.0,1,3,2,71,45,61,65,59,66
Korea Republic,Jo Jin Woo,Jin Woo Jo,22,189,81,64.0,1,3,2,58,33,39,39,63,73
Turkey,M. Kiprit,Muhammed Kiprit,22,182,80,64.0,1,4,3,71,63,47,65,30,69
England,C. Dawson,Cameron Dawson,26,193,69,64.0,1,3,1,64,62,64,64,54,62
Belgium,J. Mansoni,Junior Mansoni,26,185,78,64.0,1,3,2,75,60,56,63,58,69
Romania,D. Paraschiv,Daniel Paraschiv,23,178,76,64.0,1,2,2,70,63,49,62,21,66
Portugal,Bruno Rodrigues,Bruno Rodrigues,21,192,86,64.0,1,3,2,55,32,43,44,66,67
England,C. Hall,Connor Hall,29,193,79,64.0,0,2,2,53,27,43,44,63,77
Scotland,G. Middleton,Glenn Middleton,22,176,68,64.0,0,3,3,85,59,58,65,28,57
Germany,M. Engelhardt,Marcel Engelhardt,29,191,88,64.0,1,2,1,69,58,61,67,46,64
Saudi Arabia,A. Khamis,Awadh Khamis,33,166,72,64.0,1,3,2,68,50,60,66,60,65
Poland,M. Rakoczy,Michał Rakoczy,20,174,71,64.0,1,3,3,72,60,61,66,42,55
Argentina,N. Ratti,Nicolás Ratti,28,174,71,64.0,1,3,1,68,61,63,74,54,57
Paraguay,G. Mencia,Gustavo Mencia,33,179,78,64.0,0,3,2,57,30,55,56,64,67
Argentina,C. Zabala,Cristian Zabala,24,187,77,64.0,1,3,3,65,53,64,64,57,69
Turkey,S. Dursun,Salih Dursun,30,188,79,64.0,1,2,2,56,44,54,57,65,73
England,D. Conroy,Dion Conroy,26,181,78,64.0,1,3,2,55,28,50,58,62,73
Norway,J. Taaje,Jesper Taaje,24,192,85,64.0,1,3,2,63,29,45,53,62,71
Germany,A. Brunst,Alexander Brunst,26,195,88,64.0,1,3,1,66,64,61,66,38,63
Korea Republic,Kim Seung Joon,Seung Joon Kim,27,180,70,64.0,1,4,4,78,59,60,67,35,65
England,A. Morgan,Albie Morgan,22,181,68,64.0,1,3,2,71,57,65,64,55,59
Northern Ireland,C. Camps,Callum Camps,26,180,75,64.0,1,3,3,67,62,63,64,58,68
United States,B. Michel,Benji Michel,24,178,75,64.0,1,2,2,90,59,50,64,22,58
Uruguay,L. Zazpe,Leandro Zazpe,28,185,82,64.0,0,2,2,55,33,52,61,65,65
Saudi Arabia,H. Al Mansour,Hamad Al Mansour,29,178,73,64.0,0,5,2,72,56,60,64,59,68
