FullName,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,BestPosition,Position
Roger Assalé,84,68,64,72,29,53,RW,5
Pier Barrios,64,44,56,55,67,72,CB,1
Emir Dilaver,67,52,59,60,65,73,CB,1
Janoi Donacien,82,36,51,60,66,76,CB,1
Marlon Ritter,77,67,66,75,58,67,CAM,0
David Miculescu,71,62,60,69,35,65,ST,6
Samuel Eduok,80,66,62,68,30,67,RW,5
Pape Ndiaga Yade,82,68,59,68,40,66,ST,6
Alejandro Millán Iranzo,69,69,53,64,35,59,ST,6
Denis Drăguș,80,65,53,69,19,71,ST,6
Pierre-Yves Ngawa,74,41,50,62,67,71,CB,1
Simón Moreno Barroso,74,68,54,65,28,57,ST,6
Ștefan Târnovanu,65,67,65,66,41,68,GK,3
Jens Grahl,70,60,58,70,44,63,GK,3
Aimar Oroz Huarte,67,64,68,65,52,55,CAM,0
Juan Cruz,64,68,47,60,28,64,ST,6
Dong Hyun Kim,66,49,60,65,57,77,CM,2
Ebou Adams,72,59,61,67,65,82,CB,1
Robert Herrera,40,38,49,51,68,65,CB,1
Marko Johansson,67,64,71,70,41,63,GK,3
Jake Doyle-Hayes,71,58,65,66,63,66,CM,2
Luciano Nieto,72,63,62,69,31,58,CAM,0
Miguel Ángel Martínez,68,66,64,65,23,65,GK,3
Gustav Henriksson,64,39,56,50,65,68,CB,1
Daniel Polanco,55,26,46,42,67,67,CB,1
Tom Eaves,53,66,47,60,37,80,ST,6
Viljar Helland Vevatne,66,57,55,61,65,76,CB,1
Jesús Meza,78,66,62,68,55,48,CAM,0
Martí Riverola Bataller,71,59,63,66,33,56,CAM,0
Estevão Danilo Rios Chiamulera,44,57,73,65,27,57,CAM,0
Redouan El Yaakoubi,67,55,56,54,65,71,CB,1
Rosalino Toledo,59,63,62,65,60,61,CM,2
Edgaras Utkus,59,35,56,55,67,71,CB,1
Stefan Lex,81,64,59,69,29,64,ST,6
Nicolás Zalazar,67,36,37,45,66,73,CB,1
Juan Ignacio Díaz,73,41,48,51,68,64,CB,1
Sean McLoughlin,52,31,50,55,66,72,CB,1
Edder Farías,61,66,52,60,27,77,ST,6
Anders K. Jacobsen,69,66,51,65,29,63,ST,6
Alexandru Greab,62,66,56,71,33,63,GK,3
Diogo Lucas Queirós,52,36,42,50,66,70,CB,1
Adrian Gryszkiewicz,70,33,56,60,65,77,CB,1
Jamie McGrath,75,63,63,70,57,64,CAM,0
Viktor Johansson,68,65,65,67,32,67,GK,3
Tesho Akindele,81,63,52,65,33,71,ST,6
Gary Madine,47,67,53,61,32,79,ST,6
Richard Stearman,33,34,46,44,67,63,CB,1
Ahmed Al Zain,82,60,59,69,42,62,LW,4
Lukas Daschner,72,61,62,68,48,63,CAM,0
Felix Bastians,58,55,60,56,68,71,CB,1
Lars-Jørgen Salvesen,68,65,52,60,38,77,ST,6
Espen Ruud,53,64,70,65,63,71,CM,2
Liam Delap,71,66,49,62,24,69,ST,6
Kieran Lee,50,59,66,66,63,64,CM,2
Renato Pantalon,53,32,37,38,66,76,CB,1
Arnau Comas Freixas,61,35,54,54,66,61,CB,1
Naatan Skyttä,65,53,64,70,43,47,CAM,0
Lionel Mpasi,68,62,62,67,45,63,GK,3
Fred Friday,76,65,50,66,27,73,ST,6
Muammer Yıldırım,68,66,60,66,26,66,GK,3
Emilijus Zubas,65,60,58,72,37,62,GK,3
Felipe Peña,69,45,61,61,66,68,CB,1
Ruben Yttergård Jenssen,63,59,66,65,61,75,CM,2
Aleksandar Jukic,71,66,65,67,44,61,CAM,0
Victor Boniface,74,64,50,66,26,74,ST,6
Matthew Spiranovic,52,24,51,37,68,70,CB,1
Casper Tengstedt,83,64,57,66,31,62,ST,6
Oday Dabbagh,72,64,58,65,32,62,ST,6
Emiliano García,53,41,38,48,67,73,CB,1
Blair Turgott,80,66,57,69,25,68,RW,5
Rodrigo Ramallo,74,68,58,66,40,69,ST,6
Édouard Michut,62,53,65,71,57,51,CAM,0
Macauley Bonne,72,64,51,64,35,72,ST,6
Josh Vickers,66,65,64,66,42,64,GK,3
Magnus Retsius Grødem,70,61,63,66,42,65,CAM,0
Shaquille Pinas,75,53,56,63,65,71,CB,1
Olaus Jair Skarsem,79,55,62,71,55,64,CAM,0
Patrik Karlsson Lagemyr,79,57,64,71,32,43,CAM,0
Sigurd Haugen,79,64,50,65,32,76,ST,6
Kristjan Matošević,67,61,65,67,34,68,GK,3
Lukas Schleimer,68,56,61,70,40,45,CAM,0
Kristopher da Graca,57,30,45,49,65,73,CB,1
Devis Epassy,66,63,60,69,42,64,GK,3
Denis Kolinger,52,34,43,44,63,80,CB,1
Bartosz Kopacz,65,37,52,51,65,76,CB,1
Jonathan Zacaría,70,64,66,69,51,56,LW,4
Liam Palmer,76,58,63,63,64,77,CB,1
Raúl García de Haro,62,70,50,61,24,55,ST,6
Neyder Lozano,55,42,48,53,64,73,CB,1
Bryan Goncalves,69,37,47,41,66,75,CB,1
Jesus Chávez,68,62,67,66,56,67,CAM,0
Ivan Filipović,67,64,62,68,25,66,GK,3
Miguel Ángel Rubio Lestán,41,29,39,42,64,68,CB,1
Lucas Lund,67,66,63,66,35,65,GK,3
Ayo Akinola,82,66,48,60,20,71,ST,6
Matteo Solini,53,36,42,48,67,70,CB,1
Charlis Ortiz,66,72,44,57,19,61,ST,6
Markus Pink,50,67,54,59,27,76,ST,6
Julien Maggiotti,64,65,67,66,53,65,CAM,0
Cristian Castro Devenish,44,36,45,47,67,66,CB,1
Evidence Makgopa,67,67,50,61,31,64,ST,6
Alexander Søderlund,53,67,56,62,39,75,ST,6
Nicolás Contin,67,64,51,64,31,72,ST,6
Sam Smith,74,65,55,63,29,71,ST,6
Tim Schreiber,67,63,65,70,29,66,GK,3
Yordy Reyna,84,66,59,69,34,63,ST,6
Nick Hagglund,48,29,55,51,64,70,CB,1
Brandon Hanlan,85,64,52,67,35,75,ST,6
Juan Sforza,71,58,63,66,60,64,CM,2
Richairo Živković,81,65,55,67,18,64,ST,6
Álvaro López Ratón,66,64,63,67,49,62,GK,3
Fabian Herbers,65,64,65,66,49,68,CAM,0
Stefano Gori,71,64,63,71,46,61,GK,3
Juan Patiño,60,24,48,47,66,69,CB,1
Jeison Chalá,80,60,62,68,33,63,RW,5
Idrissa Touré,67,51,62,69,61,75,CAM,0
Jodi Jones,78,61,61,70,34,44,RW,5
Eddie Guevara,65,50,54,61,67,68,CB,1
Salim Ben Seghir,66,68,59,69,29,33,RW,5
Matías Miranda,69,59,65,68,56,53,CAM,0
Danilo Filipe Melo Veiga,66,56,59,60,67,68,CB,1
Tobias Sana,73,63,62,70,32,58,LW,4
Alejandro Bejarano,66,54,67,64,63,50,CM,2
Patrick Sontheimer,64,51,63,70,59,63,CM,2
Cedric Omoigui,86,65,50,65,24,67,ST,6
Ilija Vukotić,62,58,66,66,64,71,CM,2
Charles Abi,76,60,57,66,28,65,ST,6
Simon Ngapandouetnbu,70,66,63,72,23,64,GK,3
Anders Klynge,68,55,63,68,61,69,CM,2
Francesco Lo Celso,70,56,69,66,60,55,CAM,0
César Bernardo Dutra,65,64,63,68,40,69,GK,3
Lasha Dvali,54,32,42,40,67,77,CB,1
Jin Gyu Kim,77,60,64,69,35,65,CAM,0
Jonathan Lewis,77,65,59,72,29,58,CAM,0
Lars Lukas Mai,54,32,47,48,65,74,CB,1
Michael Langer,64,65,60,66,31,67,GK,3
Renzo Bacchia,66,63,58,65,31,67,GK,3
Gastón Hernández,64,36,49,55,68,63,CB,1
João Ricardo Pereira Queirós,34,34,49,44,66,75,CB,1
Mason Toye,73,69,44,62,30,66,ST,6
Diego Oyarzún,54,46,52,49,66,78,CB,1
Marko Poletanović,57,63,65,65,64,72,CM,2
David Datro Fofana,90,62,52,69,22,72,ST,6
Guillermo Hauche,73,67,61,69,55,59,CAM,0
Warren Caddy,81,64,49,66,28,65,ST,6
Tim Parker,69,31,44,54,63,76,CB,1
Élie Youan,78,65,54,68,31,61,ST,6
Luca Schuler,85,65,45,61,33,67,ST,6
Tomás Asta-Buruaga,61,42,48,52,68,70,CB,1
Rodrigo Saracho,70,68,59,67,23,68,GK,3
Matias Tagliamonte,63,61,62,67,40,68,GK,3
Sullay Kaikai,80,62,62,68,48,48,LW,4
Vicente Taborda,70,65,63,65,50,63,ST,6
Espen Bjørnsen Garnås,39,32,46,45,65,79,CB,1
Michał Chrapek,55,60,65,69,63,65,CM,2
Adam Zreľák,63,65,48,62,29,76,ST,6
Joris Kramer,51,36,41,52,66,69,CB,1
Baptiste Roux,59,39,55,57,66,68,CB,1
Warleson Lisboa Oliveira,68,62,62,71,27,63,GK,3
Matti Steinmann,48,56,62,64,64,75,CM,2
Elias Huth,78,65,54,63,41,74,ST,6
Kyle Dempsey,69,60,64,65,60,72,CM,2
Cameron McGeehan,65,63,63,66,61,71,CAM,0
Mateus Gonçalo Espanha Fernandes,75,56,66,73,51,62,CAM,0
Noah Diliberto,68,47,66,70,52,53,CAM,0
Sergio Román,67,60,57,72,43,68,GK,3
Francisco La Mantía,65,52,57,47,67,70,CB,1
Javier Pérez Mateo,45,62,59,61,64,68,CM,2
Alasana Manneh,68,61,67,70,58,59,CAM,0
Aníbal Leguizamón,59,33,52,51,66,72,CB,1
Johan Hammar,34,38,46,42,66,71,CB,1
Manfred Gollner,51,23,42,54,67,75,CB,1
Luis Del Pino Mago,71,41,56,53,66,69,CB,1
Dominik Kother,81,62,54,71,21,49,RW,5
Tongo Doumbia,63,58,62,63,64,81,CB,1
Marin Jakoliš,68,64,62,66,49,58,ST,6
Jack Walton,66,63,63,65,34,67,GK,3
Filipe Guterres Nascimento,76,59,68,69,53,60,CAM,0
Luca Sangalli Fuentes,71,57,66,70,58,61,CAM,0
Jefferson Epazo,67,65,66,64,36,65,GK,3
Mike Cestor,77,25,46,50,64,76,CB,1
Mustafa Malaeka,65,64,66,67,47,65,GK,3
Ravil Tagir,67,33,53,61,67,63,CB,1
Ramón Enríquez Rodríguez,69,62,67,65,57,63,CAM,0
Ched Evans,51,67,57,62,40,78,ST,6
JT Marcinkowski,67,63,69,68,22,66,GK,3
Abdulfatah Aseri,78,61,60,74,28,45,LW,4
Bogdan Țîru,51,34,44,48,65,79,CB,1
Macaulay Gillesphey,52,36,52,54,64,79,CB,1
Santiago Romero,71,64,64,61,65,72,CB,1
António João Tavares Silva,76,31,49,56,65,70,CB,1
Renzo Giampaoli,64,33,50,58,64,71,CB,1
Žan Majer,60,58,68,69,51,64,CM,2
Tomás Galván,76,61,63,71,35,46,CAM,0
Cristopher Varela,64,68,61,68,33,65,GK,3
Rafał Kurzawa,52,65,69,67,61,58,CAM,0
Valentín Viola,68,65,63,68,34,65,ST,6
Gabriel Slonina,69,62,62,65,41,65,GK,3
Dan Potts,67,38,58,63,66,68,CB,1
Will Bruin,52,65,56,61,36,75,ST,6
Alexander Díaz,73,63,50,68,32,68,ST,6
Amir Richardson,58,51,61,66,61,71,CM,2
Diego Méndez,64,66,64,66,30,67,GK,3
Cao Gu,70,40,46,58,66,75,CB,1
Michael Cheukoua,76,68,58,67,30,62,ST,6
Matt Smith,71,56,66,68,60,69,CAM,0
Willian Cevallos,69,66,63,66,60,65,CAM,0
Dennis Dressel,70,64,64,65,60,72,CM,2
Scott Fraser,69,62,64,67,55,63,CAM,0
Clark Robertson,57,30,51,57,66,71,CB,1
Andreas Schjelderup,75,59,60,71,35,47,CAM,0
Jeremy Sarmiento,80,62,62,67,29,52,CAM,0
Fernando Romero,65,69,54,62,25,67,ST,6
Dejan Sorgić,55,68,61,68,40,67,ST,6
Daniel Hernández,66,58,68,70,30,55,CAM,0
Mads Lauritsen,46,42,49,47,67,74,CB,1
Facundo Queiroz,57,34,47,46,66,69,CB,1
Ruan Tressoldi Netto,63,29,40,50,68,63,CB,1
Tanner Tessmann,59,47,64,67,59,72,CM,2
Oleksiy Shevchenko,66,65,66,66,25,65,GK,3
Antônio Rodrigues,65,36,42,45,67,67,CB,1
Harlee Dean,53,33,44,53,65,73,CB,1
Daichi Hayashi,69,65,55,65,30,69,ST,6
Gonzalo Espinoza,41,61,66,62,59,85,CM,2
Ricardo Manuel Pinho Matos,76,65,58,68,28,62,ST,6
Daniel Udoh,82,64,52,66,39,78,ST,6
Patrick Weihrauch,72,59,64,73,54,61,CAM,0
Jayden Stockley,55,65,45,59,34,81,ST,6
Jack Tucker,63,29,45,47,65,79,CB,1
Jason Lokilo,85,58,61,69,27,51,CAM,0
Diego Alende López,53,26,46,48,66,68,CB,1
Milan Rundić,67,37,41,48,64,75,CB,1
Kelyan Guessoum,67,36,52,57,67,62,CB,1
Elliott Moore,33,30,45,44,66,81,CB,1
Tobias Heintz,73,58,63,68,37,59,CAM,0
Cameron Burgess,46,37,47,47,65,78,CB,1
Leo Weinkauf,65,67,53,71,35,69,GK,3
Michael Nottingham,58,35,51,53,66,75,CB,1
Naomichi Ueda,46,30,50,52,67,70,CB,1
Víctor Campuzano Bonilla,78,65,59,67,19,65,ST,6
Alex Palmer,68,66,65,67,30,65,GK,3
Kristian Eriksen,69,62,61,66,36,68,CAM,0
Pablo Gozálbez Gilabert,58,66,64,69,49,49,CAM,0
Carlos Ribera,63,61,61,69,62,58,CAM,0
Daniël van Kaam,64,56,65,67,60,60,CM,2
Karlo Lulić,57,64,67,65,53,68,CAM,0
Konstantin Kerschbaumer,72,65,63,66,60,76,CM,2
Arno Verschueren,67,56,61,66,65,69,CM,2
Gaëtan Karlen,68,65,59,64,41,71,ST,6
Mo Eisa,86,64,51,66,24,63,ST,6
Jordan Shipley,61,66,67,66,60,64,CAM,0
Mario Maloča,61,36,41,43,65,71,CB,1
Tommy Doyle,65,62,68,66,59,65,CM,2
Johan Kappelhof,61,38,57,61,66,69,CB,1
Frederic Ananou,78,38,48,62,64,70,CB,1
Memo Rodriguez,62,63,67,71,54,59,CAM,0
Syam Ben Youssef,45,43,50,49,67,66,CB,1
Nelson Amarilla,53,33,49,35,68,74,CB,1
Enrique Clemente Maza,71,32,53,52,66,69,CB,1
Nicolas Bürgy,44,37,43,48,67,69,CB,1
Lucas Suárez,66,29,48,53,67,72,CB,1
Simone Rapp,63,61,53,59,33,75,ST,6
Joseph Champness,83,61,56,68,24,58,LW,4
Hugo Novoa Ramos,73,66,47,70,22,45,ST,6
Habib Keïta,70,57,63,69,56,59,CAM,0
Víctor Mendoza,66,68,67,67,31,64,GK,3
Paul McGinn,69,53,58,61,65,73,CB,1
Bruno Vides,72,63,57,66,39,70,ST,6
Dario Van den Buijs,65,53,61,57,66,67,CB,1
Przemysław Szymiński,68,39,52,60,67,69,CB,1
Tom Lowery,73,57,64,70,56,50,CAM,0
Runar Espejord,68,64,50,60,29,69,ST,6
Erik Friberg,38,57,70,62,58,68,CM,2
Yuber Mosquera,55,26,49,52,64,73,CB,1
Kristoffer Løkberg,66,62,62,69,62,76,CM,2
Vincent Vermeij,41,67,55,56,31,74,ST,6
Kevin Kabran,78,64,59,67,45,72,RW,5
Zargo Touré,53,29,47,55,63,75,CB,1
Evert Linthorst,67,60,61,66,61,71,CAM,0
Enzo Roldán,75,62,64,67,61,62,CAM,0
Amor Layouni,79,62,61,66,35,63,RW,5
Aldo Florenzi,74,50,62,68,51,62,CAM,0
Stephen Humphrys,70,65,54,64,37,77,ST,6
Jari Vlak,68,55,58,65,62,72,CM,2
Callum Wright,67,61,64,67,57,66,CAM,0
Hassan Tombakti,82,25,35,39,65,76,CB,1
Billy Bodin,73,64,63,69,47,56,RW,5
Emiliano Villar,75,69,56,68,30,68,ST,6
Moo Yol Go,71,65,58,66,31,64,ST,6
Luka Bogdan,44,32,44,50,67,70,CB,1
Filip Bednarek,65,63,65,69,44,65,GK,3
Rachid Bouhenna,53,44,56,51,64,78,CB,1
Sebastián Guerrero,75,67,57,66,29,66,ST,6
Jay-Roy Grot,77,65,59,61,47,82,ST,6
Artur Rudko,68,62,65,67,35,68,GK,3
Massimiliano Mangraviti,72,51,58,61,65,70,CB,1
Nicolas Lemaître,67,62,64,67,33,66,GK,3
Milan Mijatović,69,65,63,66,31,67,GK,3
Guillermo Wagner,59,62,62,64,63,46,CM,2
Dominique Badji,75,62,49,66,38,75,ST,6
Tyler Walker,77,66,57,67,36,63,ST,6
David Mitov Nilsson,67,62,65,68,26,65,GK,3
Maghnes Akliouche,74,59,64,70,45,55,CAM,0
David Gugganig,51,36,49,48,67,69,CB,1
Rentian Hu,83,59,58,68,44,68,RW,5
Michael Svoboda,57,41,53,58,65,78,CB,1
Ionuț Larie,40,33,48,46,65,73,CB,1
Dimitri Cavaré,69,52,60,62,64,79,CB,1
Nathan De Medina,71,40,57,62,65,67,CB,1
Roberto Lopes,50,29,46,51,66,73,CB,1
Herbie Kane,68,58,66,66,60,70,CM,2
Ruslan Neshcheret,66,64,67,67,26,65,GK,3
Anthony Musaba,87,64,56,68,24,62,ST,6
Mario Palomino,66,63,66,63,61,67,CM,2
Mamadou Mbaye,57,29,54,45,67,66,CB,1
Ivan Marconi,51,28,43,48,66,66,CB,1
Hakan Özmert,37,65,71,66,64,60,CM,2
Alessandro Albanese,77,62,63,72,46,58,CAM,0
Daniel Jiménez López,66,64,61,69,50,64,GK,3
Diego Saffadi,67,70,53,61,32,65,ST,6
Oumar Diakhité,71,40,45,49,65,77,CB,1
Alexis Blanco,69,64,52,65,45,73,ST,6
Ronnie Edwards,69,30,47,59,66,64,CB,1
Alejo Veliz,74,66,53,65,20,64,ST,6
Ryan Schofield,67,62,64,67,30,64,GK,3
Jonathan Bornstein,51,54,63,65,68,65,CB,1
Djorkaeff Reasco,76,66,54,65,33,74,ST,6
Dylan Gissi,34,46,58,55,64,78,CB,1
Vasco Herculano Mango Fernandes,59,40,56,64,65,68,CB,1
Kevin Luckassen,72,66,44,61,30,76,ST,6
Adi Nalić,79,65,58,69,43,71,CAM,0
Jan Boller,58,46,54,53,64,72,CB,1
Connor Wickham,39,67,61,61,30,67,ST,6
José Alejandro Martín Valerón,45,42,51,46,66,64,CB,1
Daniel Hanslik,74,64,59,65,25,73,ST,6
Jokin Ezkieta Mendiburu,65,64,65,66,44,67,GK,3
Bryan Okoh,79,31,53,61,62,72,CB,1
Rok Vodišek,68,62,61,69,47,63,GK,3
Nabil Alioui,70,64,62,71,28,57,CAM,0
Damian Michalski,72,56,55,60,64,79,CB,1
Carl Gustafsson,60,48,61,65,56,69,CM,2
Renato Solís,66,69,60,65,40,64,GK,3
Niklas Lomb,68,58,64,70,38,63,GK,3
Tarek Carranza,67,61,61,64,52,61,CM,2
Alexander Walke,62,67,69,63,32,72,GK,3
Mauro Silveira,57,63,66,65,49,66,GK,3
Lenny Pintor,77,65,56,69,27,52,RW,5
Stefano Pettinari,76,64,55,69,27,72,ST,6
Paul Gartler,67,66,65,66,32,66,GK,3
Dragoș Albu,71,58,66,64,59,73,CM,2
Urko González de Zárate,50,43,59,52,66,68,CB,1
Bart Verbruggen,71,63,65,70,46,57,GK,3
Arnau Puigmal Martínez,69,58,67,69,57,53,CAM,0
Sean Goss,65,58,67,65,58,71,CM,2
Marius Lundemo,55,59,65,66,58,69,CM,2
Samuele Campo,68,62,68,67,39,57,CAM,0
Beñat Prados Díaz,63,66,66,68,60,49,CAM,0
Neven Djurasek,80,50,61,69,61,69,CAM,0
Taylor Richards,73,62,63,68,51,66,CAM,0
Igor Vetokele,87,64,57,68,34,64,RW,5
Felipe Reynero,76,62,62,68,35,59,RW,5
Zitha Kwinika,73,37,53,48,67,65,CB,1
Vladyslav Kulach,73,65,51,67,27,61,ST,6
Ole Käuper,58,57,61,64,62,65,CM,2
Josh Magennis,56,65,57,61,50,83,ST,6
Adrián De La Fuente,57,40,54,57,66,65,CB,1
Samuele Mulattieri,70,66,57,66,36,61,ST,6
Rafael Mújica García,66,67,59,68,33,66,ST,6
Tommy McNamara,48,65,68,66,53,63,CM,2
Jorge Pereyra Díaz,76,59,61,69,50,65,RW,5
Tommaso Baldanzi,72,54,65,71,40,45,CAM,0
Juan de Dios Rivas,64,35,51,50,67,66,CB,1
Jaume Albert Cuéllar Mendoza,76,67,59,69,26,53,CAM,0
Saúl Crespo Prieto,55,52,61,61,64,75,CB,1
Daniel González,62,23,47,47,67,66,CB,1
Shaun Rooney,76,47,60,64,58,85,CB,1
Juan Ignacio Nardoni,72,57,64,69,55,57,CAM,0
Jan Gorenc,56,31,48,46,66,73,CB,1
Leonardo da Costa Bolgado,62,38,46,39,69,68,CB,1
Michele Marconi,67,65,48,62,35,72,ST,6
Enzo Lombardo,80,61,59,71,35,46,CAM,0
Philippe Rommens,66,59,70,64,50,61,CAM,0
Simon Graves,43,42,56,58,66,73,CB,1
Christian Früchtl,69,65,67,68,24,65,GK,3
Alexis Sauvage,69,67,63,66,44,63,GK,3
Hyun Kim,61,64,51,59,27,75,ST,6
Matthew Pennington,65,33,54,52,66,73,CB,1
Daishawn Redan,84,64,51,68,22,58,ST,6
Thomas Sabitzer,75,63,59,69,24,64,ST,6
Robin Ramírez,69,68,61,68,37,68,ST,6
Thiago Vecino,63,68,58,62,31,53,ST,6
Jann-Fiete Arp,78,64,54,67,31,64,ST,6
Joaquín Ardaiz,82,64,55,65,23,71,ST,6
Darian Males,77,60,62,67,36,64,CAM,0
Mario Otazú,67,67,63,61,60,64,ST,6
Marco Burch,67,43,50,50,67,71,CB,1
Cristian Arce,62,65,65,66,27,66,GK,3
Adrián Sánchez,64,50,64,68,61,68,CM,2
Eneko Satrústegui Plano,72,46,58,57,65,70,CB,1
Warren Tchimbembé,84,63,64,67,57,59,CAM,0
César Valenzuela,68,58,70,69,23,39,CAM,0
Samuel Brolin,68,65,63,66,24,65,GK,3
Grigore Turda,72,34,43,41,66,71,CB,1
Gustaf Nilsson,77,64,49,59,29,72,ST,6
Aymen Abdennour,49,53,56,51,66,71,CB,1
Bobby Wood,75,67,57,66,27,67,ST,6
Sebastián Rincón,75,65,58,68,57,62,ST,6
Kyle Lafferty,42,68,59,63,31,74,ST,6
Pierluigi Frattali,65,65,63,66,50,67,GK,3
Alejandro Pérez Navarro,36,32,46,44,67,69,CB,1
Mario Risso,36,33,41,41,67,73,CB,1
Alan Franco,78,58,59,69,60,67,CAM,0
Lautaro de León Billar,63,67,46,65,20,59,ST,6
Joan García Pons,65,64,66,65,42,65,GK,3
Samuel Careaga,63,61,66,64,57,53,CAM,0
Marco Terrazzino,61,59,66,69,34,55,CAM,0
Marcelo Silva,32,38,52,53,63,80,CB,1
Benjamin Jeannot,58,67,57,66,29,59,ST,6
Danny Mayor,63,63,66,70,49,67,CAM,0
Gianni Stensness,58,41,53,57,64,79,CB,1
Sadık Çiftpınar,50,25,40,46,67,70,CB,1
Karol Mets,48,51,58,58,64,80,CB,1
Manfred Ugalde,79,67,53,68,28,49,ST,6
Lukas Jutkiewicz,50,63,57,62,40,75,ST,6
Romano Perticone,46,42,52,48,64,72,CB,1
Elhan Kastrati,68,64,59,67,36,66,GK,3
Valmir Sulejmani,66,66,56,64,39,71,ST,6
Tobias Christensen,71,56,64,69,47,62,CAM,0
Łukasz Sekulski,68,64,43,64,26,73,ST,6
Mike Frantz,53,60,67,67,62,70,CM,2
Ricardo Rodríguez Gil,70,62,65,68,48,54,CAM,0
Imanol Machuca,80,54,59,72,40,50,CAM,0
Malcolm Cacutalua,66,41,47,48,68,65,CB,1
Maudo Lamine Jarjué,68,35,47,55,64,79,CB,1
Cristhian Mosquera Ibargüen,61,39,51,51,67,65,CB,1
Josh Sheehan,79,55,61,68,61,69,CM,2
Jostein Gundersen,55,41,52,58,64,73,CB,1
Troy Parrott,75,64,58,67,44,64,ST,6
Santiago Echeverría,58,23,40,38,69,65,CB,1
Haashim Domingo,69,57,62,70,29,52,CAM,0
Adão Douglas Morrinhos Paes,67,72,54,65,23,57,ST,6
Sondre Solholm Johansen,53,31,38,49,65,75,CB,1
Renê Ferreira dos Santos,53,42,51,55,65,75,CB,1
Romain Spano,70,64,56,65,30,57,ST,6
Rangelo Janga,70,64,40,61,27,78,ST,6
Martín Rodríguez,71,61,72,66,21,70,GK,3
Cristian Salvador González,62,51,59,64,65,76,CB,1
Dominic Baumann,68,65,53,62,29,72,ST,6
Joe Ironside,71,65,51,62,41,81,ST,6
Kévin Denkey,71,67,44,66,24,63,ST,6
Riku Riski,76,63,61,68,45,58,RW,5
Francisco Grahl,67,54,69,67,56,65,CM,2
Facundo Cambeses,66,63,63,67,47,64,GK,3
Alejo Antilef,85,59,64,73,53,63,CAM,0
Andrei Chindriș,69,36,48,47,65,76,CB,1
Nene Dorgeles,84,64,59,70,35,52,CAM,0
Jack Bonham,67,64,68,66,43,67,GK,3
Roope Riski,82,66,53,66,41,60,ST,6
Abdullah Madu,42,25,44,39,66,75,CB,1
Ziyad Al Sahafi,45,58,55,53,64,75,CB,1
Giuseppe Mastinu,63,64,62,67,35,53,CAM,0
Guillermo Viscarra,66,64,60,65,25,66,GK,3
Kays Ruiz-Atil,67,54,64,72,44,40,CAM,0
Roli Pereira de Sa,72,56,67,70,56,59,CAM,0
Kean Bryan,60,51,57,60,66,70,CB,1
Jakob Busk,67,60,63,68,44,63,GK,3
Rodrigo Duarte Ribeiro,73,65,49,66,22,60,ST,6
Mamadou Thiam,80,62,60,68,46,72,LW,4
Motaz Hawsawi,56,46,45,53,67,67,CB,1
Walberto Caicedo,66,68,58,65,35,65,ST,6
Danijel Zagorac,69,65,62,68,43,61,GK,3
Sigurd Rosted,40,47,51,52,64,77,CB,1
Stefano Turati,65,61,64,69,35,70,GK,3
Sven Nieuwpoort,66,33,53,58,66,66,CB,1
Thabang Monare,74,66,66,68,67,64,CM,2
Sebastian Nachreiner,44,23,40,36,68,68,CB,1
Mamadou Sangare,81,62,61,70,32,55,CAM,0
Mauricio Pineda,53,31,48,58,67,70,CB,1
Fernando Cardozo,72,63,59,69,26,59,CAM,0
Levent Gülen,78,30,49,61,65,73,CB,1
Ivan Lepinjica,61,47,59,58,65,73,CB,1
Ryan Flamingo,69,58,61,62,66,68,CB,1
Mathieu Gorgelin,65,64,67,66,47,66,GK,3
Bruno Sepúlveda,53,67,51,61,28,71,ST,6
Quentin Braat,67,66,64,69,26,68,GK,3
José Leudo,44,58,53,60,66,82,CB,1
Jordan Archer,67,65,66,67,43,66,GK,3
Edwin Rivera,61,58,63,65,62,62,CM,2
John Brayford,51,45,60,62,65,71,CB,1
Mateusz Mak,83,64,61,69,44,52,CAM,0
Bogdan Rusu,70,66,58,63,27,70,ST,6
Bjørn Paulsen,50,58,54,54,65,79,CB,1
Oğuz Gürbulak,65,64,70,66,53,61,CAM,0
Nicolò Manfredini,69,64,63,68,45,63,GK,3
Mario Engels,82,65,62,67,27,65,ST,6
Moutir Chajia,74,56,65,69,32,39,CAM,0
Matheus Rossetto,72,61,65,71,41,58,CAM,0
Valerio Mantovani,44,25,40,49,68,72,CB,1
Darío Poveda Romera,50,67,56,64,25,51,ST,6
Andrei Vlad,66,65,71,70,41,60,GK,3
Pablo Iñiguez de Heredia,40,43,56,60,67,65,CB,1
Jhonathan Ramis,74,62,55,73,35,64,RW,5
Chengdong Zhang,60,66,65,68,63,79,ST,6
Richárd Magyar,46,38,52,47,65,75,CB,1
Ja Cheol Koo,61,65,68,68,55,61,CAM,0
Mario Gargiulo,60,54,62,65,61,77,CM,2
Luis Ramírez,63,57,62,65,50,61,CM,2
Ángel Fortuño Viñas,65,64,64,66,42,65,GK,3
Phillip Menzel,68,65,66,67,22,65,GK,3
Naouirou Ahamada,69,50,63,72,57,61,CAM,0
Chao Gu,66,64,62,69,50,60,GK,3
Pape Ibnou Ba,73,66,52,66,26,69,ST,6
Antonios Papadopoulos,66,27,46,57,63,81,CB,1
Dion Charles,79,65,58,65,42,77,ST,6
